,model,test mse,test preds std,epochs,learning rate,n_nodes_per_layer,n_factors,batch_size,dropout_prob,patience,early stopping metric
0,0,0.9731148379562397,0.7585461735725403,250,0.1,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2,5,val_loss
1,1,1.2548719487347022,2.260891960759181e-06,250,0.01,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2,5,val_loss
2,2,0.963838587244946,0.5012519359588623,250,0.001,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2,5,val_loss
3,3,0.9892767638368763,0.4518268406391144,250,0.0001,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2,5,val_loss
4,4,1.2577918240138315,0.0,250,0.1,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",25,256,0.2,5,val_loss
5,5,0.8866476055878743,0.7023544311523438,250,0.01,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",25,256,0.2,5,val_loss
6,6,0.911475056067222,0.6475878953933716,250,0.001,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",25,256,0.2,5,val_loss
7,7,0.9166533274286518,0.575372576713562,250,0.0001,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",25,256,0.2,5,val_loss
8,8,0.94030828090159,0.7624888420104979,250,0.1,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",50,256,0.2,5,val_loss
9,9,1.2552602361907614,0.0,250,0.01,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",50,256,0.2,5,val_loss
10,10,0.9270656564150318,0.6902537941932678,250,0.001,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",50,256,0.2,5,val_loss
11,11,0.9024153905677448,0.6159833073616028,250,0.0001,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",50,256,0.2,5,val_loss
12,12,1.2555215382260478,0.0,250,0.1,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2,5,val_loss
13,13,0.981410881829458,0.5788589119911194,250,0.01,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2,5,val_loss
14,14,0.9707783972767124,0.590196967124939,250,0.001,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2,5,val_loss
15,15,0.9340814983772292,0.5721200704574585,250,0.0001,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2,5,val_loss
16,16,1.0045284396114034,0.4958498775959015,250,0.1,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",200,256,0.2,5,val_loss
17,17,0.9383468042440952,0.6110621690750122,250,0.01,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",200,256,0.2,5,val_loss
18,18,0.96312549195324,0.5286373496055603,250,0.001,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",200,256,0.2,5,val_loss
19,19,0.9434838613730309,0.4970674812793732,250,0.0001,"[1024, 512, 256, 128, 64, 32, 16, 8, 4, 2]",200,256,0.2,5,val_loss
20,20,1.255151669445436,7.152557373046875e-07,250,0.1,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2,5,val_loss
21,21,0.9487397355464569,0.622543454170227,250,0.01,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2,5,val_loss
22,22,0.8774718993685732,0.5548573732376099,250,0.001,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2,5,val_loss
23,23,1.254871093675448,4.76837158203125e-07,250,0.0001,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2,5,val_loss
24,24,0.9694564516037576,0.6258727312088013,250,0.1,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",25,256,0.2,5,val_loss
25,25,0.9194212107257611,0.6171350479125977,250,0.01,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",25,256,0.2,5,val_loss
26,26,0.9603136471025044,0.6746170520782471,250,0.001,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",25,256,0.2,5,val_loss
27,27,0.9499459877746804,0.5673180222511292,250,0.0001,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",25,256,0.2,5,val_loss
28,28,1.255259243579083,4.76837158203125e-07,250,0.1,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",50,256,0.2,5,val_loss
29,29,0.9160980078053532,0.6232196688652039,250,0.01,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",50,256,0.2,5,val_loss
30,30,1.045184255402668,0.5060006380081177,250,0.001,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",50,256,0.2,5,val_loss
31,31,0.9171573211695356,0.5667948126792908,250,0.0001,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",50,256,0.2,5,val_loss
32,32,1.0256943732065709,0.6918978691101074,250,0.1,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2,5,val_loss
33,33,1.096201933213051,0.4138818085193634,250,0.01,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2,5,val_loss
34,34,0.956818983124718,0.5424584746360779,250,0.001,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2,5,val_loss
35,35,0.9782744787932494,0.5343439579010011,250,0.0001,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2,5,val_loss
36,36,1.0234926899348906,0.5359973907470703,250,0.1,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",200,256,0.2,5,val_loss
37,37,0.9289271867088984,0.6995278596878052,250,0.01,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",200,256,0.2,5,val_loss
38,38,0.9552273888468079,0.6216264963150024,250,0.001,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",200,256,0.2,5,val_loss
39,39,0.9413170283566604,0.5417420864105225,250,0.0001,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",200,256,0.2,5,val_loss
40,40,1.021591228603704,0.5991636514663696,250,0.1,"[256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2,5,val_loss
41,41,0.8884701459587483,0.5652526617050171,250,0.01,"[256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2,5,val_loss
